covariate,label,beta_std_mean,beta_std_hdi_2.5%,beta_std_hdi_97.5%,OR_per_1SD_mean,beta_original_mean,beta_original_hdi_2.5%,beta_original_hdi_97.5%,OR_per_unit_mean,OR_per_unit_hdi_2.5%,OR_per_unit_hdi_97.5%,Pr(beta_original_gt_0),Pr(beta_original_lt_0)
pm10_ugm3,PM10 (ug/m3),-0.27968867815500215,-0.4297654201386208,-0.12983298728831405,0.7582219920256662,-0.019414732122964885,-0.029832385646589164,-0.009012422975269588,0.9807862835203578,0.9706082077820217,0.9910280671792405,7.5e-05,0.999925
no2_ppb,NO2 (ppb),0.33131288461980246,0.129621281674722,0.5388242171997873,1.4003663891376423,0.04421415226835997,0.017298135240839924,0.07190682008183913,1.045306930601703,1.0174486143996626,1.0745552124320037,0.999525,0.000475
o3_ppb,O3 (ppb),-0.263184345796094,-0.42153468739934624,-0.0978021167402468,0.7712348408575761,-0.018746778389981025,-0.03002616794878821,-0.006966503281395664,0.9814448948176252,0.9704201393117435,0.9930577065506752,0.00075,0.99925
