label,beta_original_mean,beta_original_hdi_2.5%,beta_original_hdi_97.5%,OR_per_unit_mean,OR_per_unit_hdi_2.5%,OR_per_unit_hdi_97.5%,Pr(beta_original_gt_0),Pr(beta_original_lt_0),lectura
PM10 (ug/m3),-0.019414732122964885,-0.029832385646589164,-0.009012422975269588,0.9807862835203578,0.9706082077820217,0.9910280671792405,7.5e-05,0.999925,asociación negativa clara
NO2 (ppb),0.04421415226835997,0.017298135240839924,0.07190682008183913,1.045306930601703,1.0174486143996626,1.0745552124320037,0.999525,0.000475,asociación positiva clara
O3 (ppb),-0.018746778389981025,-0.03002616794878821,-0.006966503281395664,0.9814448948176252,0.9704201393117435,0.9930577065506752,0.00075,0.99925,asociación negativa clara
